State Code,District Code,Sub District Code,Level,Area Name,Total number of inhabited villages,Total Rural population,,,Less than 200,,,,200-499,,,,500-999,,,,1000-1999,,,,2000-4999,,,,5000-9999,,,,10000 and above,,,
,,,,,,,,,Number of Villages,Population,,,Number of Villages,Population,,,Number of Villages,Population,,,Number of Villages,Population,,,Number of Villages,Population,,,Number of Villages,Population,,,Number of Villages,Population,,
,,,,,,Persons ,Males,Females,,Persons,Males ,Females,,Persons,Males ,Females,,Persons,Males ,Females,,Persons,Males ,Females,,Persons,Males ,Females,,Persons,Males ,Females,,Persons,Males ,Females
00,000,00000,INDIA,INDIA,597608,833748852,427781058,405967794,82151,8179551,4122025,4057526,114732,39685424,20134283,19551141,141800,103321330,52777825,50543505,139164,197536058,101314592,96221466,96428,288773884,148656419,140117465,18652,123877458,63905421,59972037,4681,72375147,36870493,35504654
01,000,00000,STATE,JAMMU & KASHMIR,6337,9108060,4774477,4333583,513,55485,28770,26715,1275,445663,230024,215639,1521,1118112,577665,540447,1641,2329715,1211408,1118307,1152,3447374,1817156,1630218,212,1390130,738288,651842,23,321581,171166,150415
01,001,00000,DISTRICT,Kupwara,353,765625,412038,353587,14,1859,1140,719,53,20044,10359,9685,64,49354,25503,23851,108,153669,81752,71917,81,243193,131504,111689,25,161115,89764,71351,8,136391,72016,64375
01,001,00001,SUB-DISTRICT,Kupwara,118,465323,252856,212467,5,668,508,160,7,3022,1513,1509,7,5719,2859,2860,22,31903,18352,13551,48,150553,80828,69725,21,137067,76780,60287,8,136391,72016,64375
01,001,00002,SUB-DISTRICT,Handwara,196,255711,134503,121208,6,737,388,349,38,14159,7332,6827,46,35440,18321,17119,75,107714,55884,51830,27,73613,39594,34019,4,24048,12984,11064,0,0,0,0
01,001,00003,SUB-DISTRICT,Karnah,39,44591,24679,19912,3,454,244,210,8,2863,1514,1349,11,8195,4323,3872,11,14052,7516,6536,6,19027,11082,7945,0,0,0,0,0,0,0,0
01,002,00000,DISTRICT,Badgam,462,655833,343385,312448,21,2270,1154,1116,93,33291,17415,15876,125,90062,46818,43244,127,187227,98062,89165,81,246951,129379,117572,15,96032,50557,45475,0,0,0,0
01,002,00004,SUB-DISTRICT,Khag,49,67596,34457,33139,0,0,0,0,14,5091,2586,2505,12,8329,4243,4086,12,16739,8531,8208,10,30774,15696,15078,1,6663,3401,3262,0,0,0,0
01,002,00005,SUB-DISTRICT,Beerwah,102,149671,80103,69568,6,599,310,289,19,7558,4063,3495,25,18678,9806,8872,31,44643,23652,20991,17,52724,28748,23976,4,25469,13524,11945,0,0,0,0
01,002,00006,SUB-DISTRICT,Khansahib,96,120682,62783,57899,2,198,104,94,23,7711,3972,3739,32,21627,11354,10273,20,29391,15312,14079,17,48037,24977,23060,2,13718,7064,6654,0,0,0,0
01,002,00007,SUB-DISTRICT,Budgam,95,111056,57359,53697,8,714,359,355,21,7301,3839,3462,25,18759,9701,9058,30,43673,22466,21207,10,30736,15928,14808,1,9873,5066,4807,0,0,0,0
01,002,00008,SUB-DISTRICT,Chadoora,104,164945,86218,78727,5,759,381,378,15,5254,2754,2500,27,19377,9982,9395,31,47522,25265,22257,22,69159,35845,33314,4,22874,11991,10883,0,0,0,0
01,002,00009,SUB-DISTRICT,Charar- E- Shrief,16,41883,22465,19418,0,0,0,0,1,376,201,175,4,3292,1732,1560,3,5259,2836,2423,5,15521,8185,7336,3,17435,9511,7924,0,0,0,0
01,003,00000,DISTRICT,Leh(Ladakh),111,87816,48411,39405,17,2365,1123,1242,37,11669,5804,5865,28,20744,10404,10340,22,31211,15717,15494,6,15605,9913,5692,1,6222,5450,772,0,0,0,0
01,003,00010,SUB-DISTRICT,Leh,60,48290,26037,22253,10,1449,703,746,21,6584,3295,3289,13,9907,4751,5156,11,15455,7552,7903,4,8673,4286,4387,1,6222,5450,772,0,0,0,0
01,003,00011,SUB-DISTRICT,Nubra,28,22433,13740,8693,6,814,364,450,8,2679,1306,1373,8,5603,2883,2720,4,6405,3560,2845,2,6932,5627,1305,0,0,0,0,0,0,0,0
01,003,00012,SUB-DISTRICT,Khalsi,23,17093,8634,8459,1,102,56,46,8,2406,1203,1203,7,5234,2770,2464,7,9351,4605,4746,0,0,0,0,0,0,0,0,0,0,0,0
01,004,00000,DISTRICT,Kargil,125,124464,67703,56761,3,491,243,248,37,13280,6834,6446,46,33308,17027,16281,27,38189,19541,18648,11,30799,16300,14499,1,8397,7758,639,0,0,0,0
01,004,00013,SUB-DISTRICT,Kargil,64,70123,39349,30774,1,199,100,99,15,5504,2832,2672,24,16718,8624,8094,18,25575,13022,12553,5,13730,7013,6717,1,8397,7758,639,0,0,0,0
01,004,00014,SUB-DISTRICT,Sanku,36,40548,21346,19202,2,292,143,149,8,2884,1481,1403,12,9227,4724,4503,8,11076,5711,5365,6,17069,9287,7782,0,0,0,0,0,0,0,0
01,004,00015,SUB-DISTRICT,Zanskar,25,13793,7008,6785,0,0,0,0,14,4892,2521,2371,10,7363,3679,3684,1,1538,808,730,0,0,0,0,0,0,0,0,0,0,0,0
01,005,00000,DISTRICT,Punch,170,438205,229774,208431,8,820,399,421,10,3479,1756,1723,22,17061,8641,8420,50,74550,38277,36273,61,198687,104177,94510,16,107910,55958,51952,3,35698,20566,15132
01,005,00016,SUB-DISTRICT,Haveli,49,105913,55475,50438,2,90,47,43,2,681,339,342,7,5021,2619,2402,19,29159,15006,14153,17,55443,28891,26552,2,15519,8573,6946,0,0,0,0
01,005,00017,SUB-DISTRICT,Mandi,37,77947,41365,36582,2,292,153,139,3,1135,611,524,7,5905,2995,2910,11,15613,8059,7554,11,31575,17426,14149,2,11561,5991,5570,1,11866,6130,5736
01,005,00018,SUB-DISTRICT,Mendhar,51,136333,70776,65557,4,438,199,239,5,1663,806,857,5,3875,1866,2009,14,19893,10147,9746,16,52469,26292,26177,5,34163,17030,17133,2,23832,14436,9396
01,005,00019,SUB-DISTRICT,Surankote,33,118012,62158,55854,0,0,0,0,0,0,0,0,3,2260,1161,1099,6,9885,5065,4820,17,59200,31568,27632,7,46667,24364,22303,0,0,0,0
