State Code,District Code,Sub District Code,Level,Area Name
0.0,0.0,0.0,INDIA,INDIA
1.0,0.0,0.0,STATE,JAMMU & KASHMIR
1.0,1.0,0.0,DISTRICT,Kupwara
1.0,1.0,1.0,SUB-DISTRICT,Kupwara
1.0,1.0,2.0,SUB-DISTRICT,Handwara
1.0,1.0,3.0,SUB-DISTRICT,Karnah
1.0,2.0,0.0,DISTRICT,Badgam
1.0,2.0,4.0,SUB-DISTRICT,Khag
1.0,2.0,5.0,SUB-DISTRICT,Beerwah
1.0,2.0,6.0,SUB-DISTRICT,Khansahib
1.0,2.0,7.0,SUB-DISTRICT,Budgam
1.0,2.0,8.0,SUB-DISTRICT,Chadoora
1.0,2.0,9.0,SUB-DISTRICT,Charar- E- Shrief
1.0,3.0,0.0,DISTRICT,Leh(Ladakh)
1.0,3.0,10.0,SUB-DISTRICT,Leh
1.0,3.0,11.0,SUB-DISTRICT,Nubra
1.0,3.0,12.0,SUB-DISTRICT,Khalsi
1.0,4.0,0.0,DISTRICT,Kargil
1.0,4.0,13.0,SUB-DISTRICT,Kargil
1.0,4.0,14.0,SUB-DISTRICT,Sanku
1.0,4.0,15.0,SUB-DISTRICT,Zanskar
1.0,5.0,0.0,DISTRICT,Punch
1.0,5.0,16.0,SUB-DISTRICT,Haveli
1.0,5.0,17.0,SUB-DISTRICT,Mandi
1.0,5.0,18.0,SUB-DISTRICT,Mendhar
1.0,5.0,19.0,SUB-DISTRICT,Surankote
1.0,6.0,0.0,DISTRICT,Rajouri
1.0,6.0,20.0,SUB-DISTRICT,Thanamandi
1.0,6.0,21.0,SUB-DISTRICT,Darhal
1.0,6.0,22.0,SUB-DISTRICT,Rajauri
1.0,6.0,23.0,SUB-DISTRICT,Budhal
1.0,6.0,24.0,SUB-DISTRICT,Kalakote
1.0,6.0,25.0,SUB-DISTRICT,Nowshehra
1.0,6.0,26.0,SUB-DISTRICT,Sunderbani
1.0,7.0,0.0,DISTRICT,Kathua
1.0,7.0,27.0,SUB-DISTRICT,Billawar
1.0,7.0,28.0,SUB-DISTRICT,Bashohli
1.0,7.0,29.0,SUB-DISTRICT,Bani
1.0,7.0,30.0,SUB-DISTRICT,Kathua
1.0,7.0,31.0,SUB-DISTRICT,Hiranagar
1.0,8.0,0.0,DISTRICT,Baramula
1.0,8.0,32.0,SUB-DISTRICT,Sopore
1.0,8.0,33.0,SUB-DISTRICT,Rafiabad
1.0,8.0,34.0,SUB-DISTRICT,Pattan
1.0,8.0,35.0,SUB-DISTRICT,Baramulla
1.0,8.0,36.0,SUB-DISTRICT,Kreeri
1.0,8.0,37.0,SUB-DISTRICT,Uri
1.0,8.0,38.0,SUB-DISTRICT,Boniyar
1.0,8.0,39.0,SUB-DISTRICT,Tangmarg 
1.0,9.0,0.0,DISTRICT,Bandipore
1.0,9.0,40.0,SUB-DISTRICT,Gurez
1.0,9.0,41.0,SUB-DISTRICT,Bandipora
1.0,9.0,42.0,SUB-DISTRICT,Sonawari
1.0,10.0,0.0,DISTRICT,Srinagar
1.0,10.0,43.0,SUB-DISTRICT,Srinagar (North)
1.0,10.0,44.0,SUB-DISTRICT,Srinagar (South)
1.0,11.0,0.0,DISTRICT,Ganderbal
1.0,11.0,45.0,SUB-DISTRICT,Lar
1.0,11.0,46.0,SUB-DISTRICT,Kangan
1.0,11.0,47.0,SUB-DISTRICT,Ganderbal
1.0,12.0,0.0,DISTRICT,Pulwama
1.0,12.0,48.0,SUB-DISTRICT,Pampore
1.0,12.0,49.0,SUB-DISTRICT,Awantipora
1.0,12.0,50.0,SUB-DISTRICT,Tral
1.0,12.0,51.0,SUB-DISTRICT,Pulwama
1.0,13.0,0.0,DISTRICT,Shupiyan
1.0,13.0,52.0,SUB-DISTRICT,Shopian
1.0,14.0,0.0,DISTRICT,Anantnag
1.0,14.0,53.0,SUB-DISTRICT,Pahalgam
1.0,14.0,54.0,SUB-DISTRICT,Bijbehara
1.0,14.0,55.0,SUB-DISTRICT,Anantnag
1.0,14.0,56.0,SUB-DISTRICT,Shangus
1.0,14.0,57.0,SUB-DISTRICT,Kokernag
1.0,14.0,58.0,SUB-DISTRICT,Dooru
1.0,15.0,0.0,DISTRICT,Kulgam
1.0,15.0,59.0,SUB-DISTRICT,Kulgam
1.0,15.0,60.0,SUB-DISTRICT, Devsar
1.0,15.0,61.0,SUB-DISTRICT,Damhal Hanjipora
1.0,16.0,0.0,DISTRICT,Doda
1.0,16.0,62.0,SUB-DISTRICT,Doda
1.0,16.0,63.0,SUB-DISTRICT,Thathri
1.0,16.0,64.0,SUB-DISTRICT,Gandoh
1.0,16.0,65.0,SUB-DISTRICT,Bhaderwah
1.0,17.0,0.0,DISTRICT,Ramban
1.0,17.0,66.0,SUB-DISTRICT,Banihal
1.0,17.0,67.0,SUB-DISTRICT,Ramban
1.0,18.0,0.0,DISTRICT,Kishtwar
1.0,18.0,68.0,SUB-DISTRICT,Kishtwar
1.0,18.0,69.0,SUB-DISTRICT,Marwah
1.0,18.0,70.0,SUB-DISTRICT,Chhatroo
1.0,18.0,71.0,SUB-DISTRICT,Atholi (Paddar)
1.0,19.0,0.0,DISTRICT,Udhampur
1.0,19.0,72.0,SUB-DISTRICT,Udhampur
1.0,19.0,73.0,SUB-DISTRICT,Chenani
1.0,19.0,74.0,SUB-DISTRICT,Ramnagar
1.0,19.0,75.0,SUB-DISTRICT,Majalta
1.0,20.0,0.0,DISTRICT,Reasi
1.0,20.0,76.0,SUB-DISTRICT,Gool-Gulabgarh
1.0,20.0,77.0,SUB-DISTRICT,Reasi
1.0,21.0,0.0,DISTRICT,Jammu
1.0,21.0,78.0,SUB-DISTRICT,Akhnoor
1.0,21.0,79.0,SUB-DISTRICT,Jammu
1.0,21.0,80.0,SUB-DISTRICT,Ranbir Singh Pora
1.0,21.0,81.0,SUB-DISTRICT,Bishnah
1.0,22.0,0.0,DISTRICT,Samba
1.0,22.0,82.0,SUB-DISTRICT,Samba
2.0,0.0,0.0,STATE,HIMACHAL PRADESH
2.0,23.0,0.0,DISTRICT,Chamba
2.0,23.0,83.0,SUB-DISTRICT,Pangi
2.0,23.0,84.0,SUB-DISTRICT,Chaurah
2.0,23.0,85.0,SUB-DISTRICT,Saluni
2.0,23.0,86.0,SUB-DISTRICT,Bhalai
2.0,23.0,87.0,SUB-DISTRICT,Dalhousie
2.0,23.0,88.0,SUB-DISTRICT,Bhattiyat
2.0,23.0,89.0,SUB-DISTRICT,Sihunta
2.0,23.0,90.0,SUB-DISTRICT,Chamba
2.0,23.0,91.0,SUB-DISTRICT,Holi
2.0,23.0,92.0,SUB-DISTRICT,Brahmaur
2.0,24.0,0.0,DISTRICT,Kangra
2.0,24.0,93.0,SUB-DISTRICT,Nurpur
2.0,24.0,94.0,SUB-DISTRICT,Indora
2.0,24.0,95.0,SUB-DISTRICT,Fatehpur
2.0,24.0,96.0,SUB-DISTRICT,Jawali
2.0,24.0,97.0,SUB-DISTRICT,Harchakian
2.0,24.0,98.0,SUB-DISTRICT,Shahpur
2.0,24.0,99.0,SUB-DISTRICT,Dharmsala
2.0,24.0,100.0,SUB-DISTRICT,Kangra
2.0,24.0,101.0,SUB-DISTRICT,Nagrota Bagwan
2.0,24.0,102.0,SUB-DISTRICT,Baroh
2.0,24.0,103.0,SUB-DISTRICT,Dera Gopipur
2.0,24.0,104.0,SUB-DISTRICT,Jawalamukhi
2.0,24.0,105.0,SUB-DISTRICT,Jaswan
2.0,24.0,106.0,SUB-DISTRICT,Rakkar
2.0,24.0,107.0,SUB-DISTRICT,Khundian
2.0,24.0,108.0,SUB-DISTRICT,Thural
2.0,24.0,109.0,SUB-DISTRICT,Dhira
2.0,24.0,110.0,SUB-DISTRICT,Jaisinghpur
2.0,24.0,111.0,SUB-DISTRICT,Palampur
2.0,24.0,112.0,SUB-DISTRICT,Baijnath
2.0,24.0,113.0,SUB-DISTRICT,Multhan
2.0,25.0,0.0,DISTRICT,Lahul & Spiti
2.0,25.0,114.0,SUB-DISTRICT,Udaipur
2.0,25.0,115.0,SUB-DISTRICT,Lahul
2.0,25.0,116.0,SUB-DISTRICT,Spiti
2.0,26.0,0.0,DISTRICT,Kullu
2.0,26.0,117.0,SUB-DISTRICT,Manali
2.0,26.0,118.0,SUB-DISTRICT,Kullu
2.0,26.0,119.0,SUB-DISTRICT,Sainj
2.0,26.0,120.0,SUB-DISTRICT,Banjar
2.0,26.0,121.0,SUB-DISTRICT,Ani
2.0,26.0,122.0,SUB-DISTRICT,Nermand
2.0,27.0,0.0,DISTRICT,Mandi
2.0,27.0,123.0,SUB-DISTRICT,Padhar
2.0,27.0,124.0,SUB-DISTRICT,Jogindarnagar
2.0,27.0,125.0,SUB-DISTRICT,Lad Bharol
2.0,27.0,126.0,SUB-DISTRICT,Sandhol
2.0,27.0,127.0,SUB-DISTRICT,Dharmpur
2.0,27.0,128.0,SUB-DISTRICT,Kotli
2.0,27.0,129.0,SUB-DISTRICT,Sarkaghat
2.0,27.0,130.0,SUB-DISTRICT,Bhadrota
2.0,27.0,131.0,SUB-DISTRICT,Baldwara
2.0,27.0,132.0,SUB-DISTRICT,Sundarnagar
2.0,27.0,133.0,SUB-DISTRICT,Mandi
2.0,27.0,134.0,SUB-DISTRICT,Aut
2.0,27.0,135.0,SUB-DISTRICT,Bali Chowki
2.0,27.0,136.0,SUB-DISTRICT,Thunag
2.0,27.0,137.0,SUB-DISTRICT,Chachyot
2.0,27.0,138.0,SUB-DISTRICT,Nihri
2.0,27.0,139.0,SUB-DISTRICT,Karsog
2.0,28.0,0.0,DISTRICT,Hamirpur
2.0,28.0,140.0,SUB-DISTRICT,Tira Sujanpur
2.0,28.0,141.0,SUB-DISTRICT,Nadaun
2.0,28.0,142.0,SUB-DISTRICT,Galore
2.0,28.0,143.0,SUB-DISTRICT,Hamirpur
2.0,28.0,144.0,SUB-DISTRICT,Barsar
2.0,28.0,145.0,SUB-DISTRICT,Dhatwal
2.0,28.0,146.0,SUB-DISTRICT,Bhoranj
2.0,29.0,0.0,DISTRICT,Una
2.0,29.0,147.0,SUB-DISTRICT,Bharwain
2.0,29.0,148.0,SUB-DISTRICT,Amb
2.0,29.0,149.0,SUB-DISTRICT,Bangana
2.0,29.0,150.0,SUB-DISTRICT,Una
2.0,29.0,151.0,SUB-DISTRICT,Haroli
2.0,30.0,0.0,DISTRICT,Bilaspur
2.0,30.0,152.0,SUB-DISTRICT,Ghumarwin
2.0,30.0,153.0,SUB-DISTRICT,Bharari
2.0,30.0,154.0,SUB-DISTRICT,Jhanduta
2.0,30.0,155.0,SUB-DISTRICT,Naina Devi
2.0,30.0,156.0,SUB-DISTRICT,Bilaspur Sadar
2.0,30.0,157.0,SUB-DISTRICT,Namhol
2.0,31.0,0.0,DISTRICT,Solan
2.0,31.0,158.0,SUB-DISTRICT,Arki
2.0,31.0,159.0,SUB-DISTRICT,Darlaghat
2.0,31.0,160.0,SUB-DISTRICT,Ramshahr
2.0,31.0,161.0,SUB-DISTRICT,Nalagarh
2.0,31.0,162.0,SUB-DISTRICT,Baddi
2.0,31.0,163.0,SUB-DISTRICT,Krishangarh
2.0,31.0,164.0,SUB-DISTRICT,Kasauli
2.0,31.0,165.0,SUB-DISTRICT,Solan
2.0,31.0,166.0,SUB-DISTRICT,Kandaghat
2.0,32.0,0.0,DISTRICT,Sirmaur
2.0,32.0,167.0,SUB-DISTRICT,Rajgarh
2.0,32.0,168.0,SUB-DISTRICT,Nohra
2.0,32.0,169.0,SUB-DISTRICT,Pachhad
2.0,32.0,170.0,SUB-DISTRICT,Renuka
